sid,name,manufacturer,game_type,denomination,volatility_text,volatility_score,location,map_url,source_url,casino,scraped_at
182,2-4-6 Way Keno,IGT Poker,Poker,$0.25,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=182,https://www.coushattacasinoresort.com/slot-map.php?sid=182,Coushatta Casino Resort,2026-08-27T20:35:19.247787+00:00
183,2-4-6 Way Keno,IGT Poker,Poker,$0.50,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=183,https://www.coushattacasinoresort.com/slot-map.php?sid=183,Coushatta Casino Resort,2026-08-27T20:35:19.364073+00:00
184,2-4-6 Way Keno,IGT Poker,Poker,$1.00,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=184,https://www.coushattacasinoresort.com/slot-map.php?sid=184,Coushatta Casino Resort,2026-08-27T20:35:19.315367+00:00
185,2-4-6 Way Keno,IGT Poker,Poker,$2.00,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=185,https://www.coushattacasinoresort.com/slot-map.php?sid=185,Coushatta Casino Resort,2026-08-27T20:35:19.326094+00:00
1193,3 Doves Epr Mc Md,Incredible Technologies,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=1193,https://www.coushattacasinoresort.com/slot-map.php?sid=1193,Coushatta Casino Resort,2026-08-27T20:35:36.888984+00:00
997,3 Doves Ope Mc Md,Incredible Technologies,Video,$0.01,Medium,3.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=997,https://www.coushattacasinoresort.com/slot-map.php?sid=997,Coushatta Casino Resort,2026-08-27T20:35:33.934595+00:00
180,3-6-9 Way Keno,IGT Poker,Poker,$0.25,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=180,https://www.coushattacasinoresort.com/slot-map.php?sid=180,Coushatta Casino Resort,2026-08-27T20:35:19.148749+00:00
181,3-6-9 Way Keno,IGT Poker,Poker,$0.50,High,4.0,,https://www.coushattacasinoresort.com/slot-map.php?sid=181,https://www.coushattacasinoresort.com/slot-map.php?sid=181,Coushatta Casino Resort,2026-08-27T20:35:19.166077+00:00
3085,3/5/10 Play Poker - Five Play Bonus Poker,IGT,Poker,$0.25,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3085,https://www.coushattacasinoresort.com/slot-map.php?sid=3085,Coushatta Casino Resort,2026-08-27T20:36:14.941443+00:00
3086,3/5/10 Play Poker - Five Play Bonus Poker,IGT,Poker,$0.50,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3086,https://www.coushattacasinoresort.com/slot-map.php?sid=3086,Coushatta Casino Resort,2026-08-27T20:36:14.934751+00:00
3087,3/5/10 Play Poker - Five Play Bonus Poker,IGT,Poker,$1.00,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3087,https://www.coushattacasinoresort.com/slot-map.php?sid=3087,Coushatta Casino Resort,2026-08-27T20:36:14.994240+00:00
3082,3/5/10 Play Poker - Five Play Bonus Poker Deluxe,IGT,Poker,$0.25,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3082,https://www.coushattacasinoresort.com/slot-map.php?sid=3082,Coushatta Casino Resort,2026-08-27T20:36:14.842748+00:00
3083,3/5/10 Play Poker - Five Play Bonus Poker Deluxe,IGT,Poker,$0.50,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3083,https://www.coushattacasinoresort.com/slot-map.php?sid=3083,Coushatta Casino Resort,2026-08-27T20:36:14.855429+00:00
3084,3/5/10 Play Poker - Five Play Bonus Poker Deluxe,IGT,Poker,$1.00,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3084,https://www.coushattacasinoresort.com/slot-map.php?sid=3084,Coushatta Casino Resort,2026-08-27T20:36:14.881062+00:00
3079,3/5/10 Play Poker - Five Play Deuces Wild,IGT,Poker,$0.25,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3079,https://www.coushattacasinoresort.com/slot-map.php?sid=3079,Coushatta Casino Resort,2026-08-27T20:36:14.768838+00:00
3080,3/5/10 Play Poker - Five Play Deuces Wild,IGT,Poker,$0.50,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3080,https://www.coushattacasinoresort.com/slot-map.php?sid=3080,Coushatta Casino Resort,2026-08-27T20:36:14.796289+00:00
3081,3/5/10 Play Poker - Five Play Deuces Wild,IGT,Poker,$1.00,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3081,https://www.coushattacasinoresort.com/slot-map.php?sid=3081,Coushatta Casino Resort,2026-08-27T20:36:14.814680+00:00
3076,3/5/10 Play Poker - Five Play Deuces Wild Bonus,IGT,Poker,$0.25,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3076,https://www.coushattacasinoresort.com/slot-map.php?sid=3076,Coushatta Casino Resort,2026-08-27T20:36:14.808816+00:00
3077,3/5/10 Play Poker - Five Play Deuces Wild Bonus,IGT,Poker,$0.50,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3077,https://www.coushattacasinoresort.com/slot-map.php?sid=3077,Coushatta Casino Resort,2026-08-27T20:36:14.741088+00:00
3078,3/5/10 Play Poker - Five Play Deuces Wild Bonus,IGT,Poker,$1.00,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3078,https://www.coushattacasinoresort.com/slot-map.php?sid=3078,Coushatta Casino Resort,2026-08-27T20:36:14.765131+00:00
3073,3/5/10 Play Poker - Five Play Double Bonus Poker,IGT,Poker,$0.25,N/A,,,https://www.coushattacasinoresort.com/slot-map.php?sid=3073,https://www.coushattacasinoresort.com/slot-map.php?sid=3073,Coushatta Casino Resort,2026-08-27T20:36:14.645366+00:00
