[0/1] Trying Coushatta's %%% wildcard search…
[0/5000] Wildcard endpoint unavailable; scanning public SID records…
[20/5000] Scanning Coushatta SID 20; found 20 valid records
[40/5000] Scanning Coushatta SID 41; found 40 valid records
[60/5000] Scanning Coushatta SID 60; found 60 valid records
[80/5000] Scanning Coushatta SID 80; found 80 valid records
[100/5000] Scanning Coushatta SID 101; found 100 valid records
[120/5000] Scanning Coushatta SID 121; found 120 valid records
[140/5000] Scanning Coushatta SID 140; found 140 valid records
[160/5000] Scanning Coushatta SID 160; found 160 valid records
[180/5000] Scanning Coushatta SID 181; found 180 valid records
[200/5000] Scanning Coushatta SID 199; found 200 valid records
[220/5000] Scanning Coushatta SID 221; found 220 valid records
[240/5000] Scanning Coushatta SID 240; found 240 valid records
[260/5000] Scanning Coushatta SID 260; found 260 valid records
[280/5000] Scanning Coushatta SID 280; found 280 valid records
[300/5000] Scanning Coushatta SID 300; found 300 valid records
[320/5000] Scanning Coushatta SID 319; found 320 valid records
[340/5000] Scanning Coushatta SID 340; found 340 valid records
[360/5000] Scanning Coushatta SID 360; found 360 valid records
[380/5000] Scanning Coushatta SID 380; found 380 valid records
[400/5000] Scanning Coushatta SID 400; found 400 valid records
[420/5000] Scanning Coushatta SID 421; found 420 valid records
[440/5000] Scanning Coushatta SID 440; found 440 valid records
[460/5000] Scanning Coushatta SID 461; found 460 valid records
[480/5000] Scanning Coushatta SID 480; found 480 valid records
[500/5000] Scanning Coushatta SID 501; found 500 valid records
[520/5000] Scanning Coushatta SID 520; found 520 valid records
[540/5000] Scanning Coushatta SID 540; found 540 valid records
[560/5000] Scanning Coushatta SID 559; found 560 valid records
[580/5000] Scanning Coushatta SID 580; found 580 valid records
[600/5000] Scanning Coushatta SID 599; found 600 valid records
[620/5000] Scanning Coushatta SID 618; found 620 valid records
[640/5000] Scanning Coushatta SID 638; found 640 valid records
[660/5000] Scanning Coushatta SID 660; found 660 valid records
[680/5000] Scanning Coushatta SID 680; found 680 valid records
[700/5000] Scanning Coushatta SID 701; found 700 valid records
[720/5000] Scanning Coushatta SID 718; found 720 valid records
[740/5000] Scanning Coushatta SID 741; found 740 valid records
[760/5000] Scanning Coushatta SID 760; found 760 valid records
[780/5000] Scanning Coushatta SID 776; found 780 valid records
[800/5000] Scanning Coushatta SID 801; found 800 valid records
[820/5000] Scanning Coushatta SID 822; found 820 valid records
[840/5000] Scanning Coushatta SID 840; found 840 valid records
[860/5000] Scanning Coushatta SID 860; found 860 valid records
[880/5000] Scanning Coushatta SID 880; found 880 valid records
[900/5000] Scanning Coushatta SID 900; found 900 valid records
[920/5000] Scanning Coushatta SID 920; found 920 valid records
[940/5000] Scanning Coushatta SID 938; found 940 valid records
[960/5000] Scanning Coushatta SID 959; found 960 valid records
[980/5000] Scanning Coushatta SID 980; found 980 valid records
[1000/5000] Scanning Coushatta SID 1001; found 1000 valid records
[1020/5000] Scanning Coushatta SID 1020; found 1020 valid records
[1040/5000] Scanning Coushatta SID 1040; found 1040 valid records
[1060/5000] Scanning Coushatta SID 1061; found 1060 valid records
[1080/5000] Scanning Coushatta SID 1079; found 1080 valid records
[1100/5000] Scanning Coushatta SID 1101; found 1100 valid records
[1120/5000] Scanning Coushatta SID 1120; found 1120 valid records
[1140/5000] Scanning Coushatta SID 1140; found 1140 valid records
[1160/5000] Scanning Coushatta SID 1160; found 1160 valid records
[1180/5000] Scanning Coushatta SID 1179; found 1180 valid records
[1200/5000] Scanning Coushatta SID 1201; found 1200 valid records
[1220/5000] Scanning Coushatta SID 1220; found 1220 valid records
[1240/5000] Scanning Coushatta SID 1237; found 1240 valid records
[1260/5000] Scanning Coushatta SID 1262; found 1260 valid records
[1280/5000] Scanning Coushatta SID 1281; found 1280 valid records
[1300/5000] Scanning Coushatta SID 1300; found 1300 valid records
[1320/5000] Scanning Coushatta SID 1320; found 1320 valid records
[1340/5000] Scanning Coushatta SID 1341; found 1340 valid records
[1360/5000] Scanning Coushatta SID 1361; found 1360 valid records
[1380/5000] Scanning Coushatta SID 1381; found 1380 valid records
[1400/5000] Scanning Coushatta SID 1402; found 1400 valid records
[1420/5000] Scanning Coushatta SID 1421; found 1420 valid records
[1440/5000] Scanning Coushatta SID 1440; found 1440 valid records
[1460/5000] Scanning Coushatta SID 1461; found 1460 valid records
[1480/5000] Scanning Coushatta SID 1482; found 1480 valid records
[1500/5000] Scanning Coushatta SID 1501; found 1500 valid records
[1520/5000] Scanning Coushatta SID 1520; found 1520 valid records
[1540/5000] Scanning Coushatta SID 1538; found 1540 valid records
[1560/5000] Scanning Coushatta SID 1558; found 1560 valid records
[1580/5000] Scanning Coushatta SID 1582; found 1580 valid records
[1600/5000] Scanning Coushatta SID 1600; found 1600 valid records
[1620/5000] Scanning Coushatta SID 1620; found 1620 valid records
[1640/5000] Scanning Coushatta SID 1640; found 1640 valid records
[1660/5000] Scanning Coushatta SID 1661; found 1660 valid records
[1680/5000] Scanning Coushatta SID 1675; found 1680 valid records
[1700/5000] Scanning Coushatta SID 1700; found 1700 valid records
[1720/5000] Scanning Coushatta SID 1717; found 1720 valid records
[1740/5000] Scanning Coushatta SID 1740; found 1740 valid records
[1760/5000] Scanning Coushatta SID 1760; found 1760 valid records
[1780/5000] Scanning Coushatta SID 1780; found 1780 valid records
[1800/5000] Scanning Coushatta SID 1800; found 1800 valid records
[1820/5000] Scanning Coushatta SID 1819; found 1820 valid records
[1840/5000] Scanning Coushatta SID 1840; found 1840 valid records
[1860/5000] Scanning Coushatta SID 1861; found 1860 valid records
[1880/5000] Scanning Coushatta SID 1880; found 1880 valid records
[1900/5000] Scanning Coushatta SID 1902; found 1900 valid records
[1920/5000] Scanning Coushatta SID 1921; found 1920 valid records
[1940/5000] Scanning Coushatta SID 1940; found 1940 valid records
[1960/5000] Scanning Coushatta SID 1960; found 1960 valid records
[1980/5000] Scanning Coushatta SID 1980; found 1980 valid records
[2000/5000] Scanning Coushatta SID 2000; found 2000 valid records
[2020/5000] Scanning Coushatta SID 2019; found 2020 valid records
[2040/5000] Scanning Coushatta SID 2042; found 2040 valid records
[2060/5000] Scanning Coushatta SID 2058; found 2060 valid records
[2080/5000] Scanning Coushatta SID 2080; found 2080 valid records
[2100/5000] Scanning Coushatta SID 2100; found 2100 valid records
[2120/5000] Scanning Coushatta SID 2120; found 2120 valid records
[2140/5000] Scanning Coushatta SID 2139; found 2140 valid records
[2160/5000] Scanning Coushatta SID 2160; found 2160 valid records
[2180/5000] Scanning Coushatta SID 2175; found 2180 valid records
[2200/5000] Scanning Coushatta SID 2193; found 2200 valid records
[2220/5000] Scanning Coushatta SID 2222; found 2220 valid records
[2240/5000] Scanning Coushatta SID 2241; found 2240 valid records
[2260/5000] Scanning Coushatta SID 2260; found 2260 valid records
[2280/5000] Scanning Coushatta SID 2280; found 2280 valid records
[2300/5000] Scanning Coushatta SID 2300; found 2300 valid records
[2320/5000] Scanning Coushatta SID 2321; found 2320 valid records
[2340/5000] Scanning Coushatta SID 2341; found 2340 valid records
[2360/5000] Scanning Coushatta SID 2360; found 2360 valid records
[2380/5000] Scanning Coushatta SID 2382; found 2380 valid records
[2400/5000] Scanning Coushatta SID 2400; found 2400 valid records
[2420/5000] Scanning Coushatta SID 2420; found 2420 valid records
[2440/5000] Scanning Coushatta SID 2442; found 2440 valid records
[2460/5000] Scanning Coushatta SID 2460; found 2460 valid records
[2480/5000] Scanning Coushatta SID 2480; found 2480 valid records
[2500/5000] Scanning Coushatta SID 2499; found 2500 valid records
[2520/5000] Scanning Coushatta SID 2520; found 2520 valid records
[2540/5000] Scanning Coushatta SID 2540; found 2540 valid records
[2560/5000] Scanning Coushatta SID 2558; found 2560 valid records
[2580/5000] Scanning Coushatta SID 2580; found 2580 valid records
[2600/5000] Scanning Coushatta SID 2600; found 2600 valid records
[2620/5000] Scanning Coushatta SID 2620; found 2620 valid records
[2640/5000] Scanning Coushatta SID 2641; found 2640 valid records
[2660/5000] Scanning Coushatta SID 2659; found 2660 valid records
[2680/5000] Scanning Coushatta SID 2680; found 2680 valid records
[2700/5000] Scanning Coushatta SID 2700; found 2700 valid records
[2720/5000] Scanning Coushatta SID 2720; found 2720 valid records
[2740/5000] Scanning Coushatta SID 2740; found 2740 valid records
[2760/5000] Scanning Coushatta SID 2762; found 2760 valid records
[2780/5000] Scanning Coushatta SID 2780; found 2780 valid records
[2800/5000] Scanning Coushatta SID 2799; found 2800 valid records
[2820/5000] Scanning Coushatta SID 2822; found 2820 valid records
[2840/5000] Scanning Coushatta SID 2841; found 2840 valid records
[2860/5000] Scanning Coushatta SID 2860; found 2860 valid records
[2880/5000] Scanning Coushatta SID 2880; found 2880 valid records
[2900/5000] Scanning Coushatta SID 2899; found 2900 valid records
[2920/5000] Scanning Coushatta SID 2920; found 2920 valid records
[2940/5000] Scanning Coushatta SID 2940; found 2940 valid records
[2960/5000] Scanning Coushatta SID 2960; found 2960 valid records
